,age,ast,blk,date_game,drb,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,player,pos,pts,stl,team_id,tov,trb
25,27-317,6,1,2016-12-20,3,10,3,.500,6,7,.700,10,.625,16,17,1.000,17,@,W,43.2,1,38,MEM,0,1,Isaiah Thomas,G,44,2,BOS,1,3
26,27-360,7,0,2017-02-01,4,12,7,.700,10,5,.417,12,.545,22,15,.938,16,,W,34.9,1,38,TOR,0,3,Isaiah Thomas,G,44,0,BOS,3,4
27,28-320,6,0,2017-01-28,9,15,6,.750,8,9,.600,15,.652,23,4,1.000,4,,W,37.4,1,29,LAC,0,1,Stephen Curry,G,43,0,GSW,2,9
28,25-104,3,1,2017-01-01,4,16,13,.684,19,3,.500,6,.640,25,8,.889,9,@,W,35.0,1,39,MIN,1,3,C.J. McCollum,G,43,3,POR,3,5
29,23-146,1,0,2016-11-21,3,14,9,.750,12,5,.500,10,.636,22,9,.818,11,,W,31.9,1,40,PHO,1,2,Bradley Beal,G,42,0,WAS,1,4
30,27-115,5,0,2017-01-07,6,10,6,.353,17,4,.500,8,.400,25,18,.900,20,,W,33.4,1,44,TOR,4,1,Jimmy Butler,G-F,42,2,CHI,4,10
31,26-161,3,2,2017-01-21,12,16,14,.667,21,2,.286,7,.571,28,8,.889,9,@,L,34.3,1,35,CHI,2,4,DeMarcus Cousins,C-F,42,1,SAC,2,14
32,23-336,2,1,2017-02-10,11,16,14,.737,19,2,.667,3,.727,22,8,.727,11,@,W,36.4,1,36,MIN,2,3,Anthony Davis,F-C,42,1,NOP,2,13
33,31-362,2,2,2017-01-25,7,14,9,.600,15,5,.500,10,.560,25,9,.900,10,,W,33.2,1,38,TOR,0,1,Marc Gasol,C,42,1,MEM,2,7
34,27-161,9,1,2017-02-03,11,13,8,.400,20,5,.385,13,.394,33,11,.786,14,,W,32.3,1,44,CHI,1,4,James Harden,G,42,2,HOU,2,12
35,26-112,4,0,2016-11-04,4,12,7,.583,12,5,.833,6,.667,18,13,.929,14,@,W,35.2,1,37,DAL,0,4,Damian Lillard,G,42,0,POR,1,4
36,28-039,7,0,2016-12-21,9,12,10,.526,19,2,.286,7,.462,26,16,.889,18,@,W,32.3,1,34,NOP,1,2,Russell Westbrook,G,42,1,OKC,4,10
37,28-085,8,0,2017-02-05,3,16,15,.536,28,1,.167,6,.471,34,9,.818,11,,W,25.8,1,35,POR,1,3,Russell Westbrook,G,42,0,OKC,4,4
38,22-066,6,3,2017-02-10,7,11,10,.714,14,1,.167,6,.550,20,18,.857,21,,L,35.1,1,42,LAL,1,3,Giannis Antetokounmpo,F-G,41,2,MIL,5,8
39,23-173,3,0,2016-12-18,3,13,7,.538,13,6,.600,10,.565,23,9,.818,11,,W,31.5,1,38,LAC,0,2,Bradley Beal,G,41,1,WAS,1,3
40,23-223,8,0,2017-02-06,5,16,10,.714,14,6,.429,14,.571,28,3,1.000,3,,L,34.5,1,45,CLE,0,1,Bradley Beal,G,41,0,WAS,0,5
41,27-050,8,0,2017-01-28,4,12,9,.474,19,3,.375,8,.444,27,14,.933,15,,L,32.5,1,45,DEN,2,3,Eric Bledsoe,G,41,2,PHO,3,6
43,27-054,8,0,2017-02-01,4,13,11,.611,18,2,.500,4,.591,22,13,.867,15,,L,29.6,1,40,LAC,0,3,Eric Bledsoe,G,41,0,PHO,6,4
44,23-263,3,2,2016-11-29,10,14,13,.565,23,1,.250,4,.519,27,12,.857,14,,W,39.0,1,41,LAL,6,4,Anthony Davis,F-C,41,4,NOP,1,16
45,27-156,0,0,2017-01-10,11,16,15,.556,27,1,.500,2,.552,29,8,.889,9,,W,32.0,1,38,BOS,2,1,DeMar DeRozan,G,41,2,TOR,1,13
46,27-067,15,0,2016-11-01,6,13,8,.727,11,5,.556,9,.650,20,10,.714,14,@,L,42.4,1,38,CLE,1,3,James Harden,G,41,1,HOU,1,7
47,27-160,8,0,2017-02-02,6,10,5,.455,11,5,.417,12,.435,23,16,.762,21,,L,34.5,1,39,ATL,2,3,James Harden,G,41,4,HOU,4,8
48,25-206,5,1,2017-01-21,6,15,12,.545,22,3,.375,8,.500,30,8,1.000,8,@,W,25.8,1,46,CLE,0,3,Kawhi Leonard,F,41,1,SAS,6,6
49,30-282,7,0,2017-01-01,8,12,6,.667,9,6,.857,7,.750,16,11,1.000,11,@,W,37.4,1,39,LAL,1,3,Kyle Lowry,G,41,0,TOR,4,9
50,27-349,6,0,2017-01-21,2,14,10,.588,17,4,.364,11,.500,28,9,.818,11,,L,25.3,1,44,POR,1,1,Isaiah Thomas,G,41,0,BOS,6,3
51,27-358,8,0,2017-01-30,0,11,7,.583,12,4,.364,11,.478,23,15,1.000,15,,W,32.3,1,37,DET,0,4,Isaiah Thomas,G,41,2,BOS,3,0
52,21-032,5,1,2016-12-17,14,15,14,.583,24,1,.250,4,.536,28,10,.833,12,,L,28.8,1,43,HOU,2,4,Karl-Anthony Towns,F-C,41,0,MIN,6,16
53,28-001,16,0,2016-11-13,10,14,14,.778,18,0,.000,3,.667,21,13,.722,18,,L,42.7,1,38,ORL,2,2,Russell Westbrook,G,41,0,OKC,2,12
54,21-318,2,0,2017-01-06,0,16,15,.556,27,1,.333,3,.533,30,8,.800,10,@,L,26.9,1,39,WAS,1,2,Andrew Wiggins,F-G,41,2,MIN,2,1
55,21-357,2,0,2017-02-14,2,16,12,.571,21,4,.500,8,.552,29,5,.833,6,,L,30.0,1,41,CLE,1,1,Andrew Wiggins,F-G,41,1,MIN,0,3
56,27-044,13,0,2017-01-22,6,11,7,.700,10,4,.571,7,.647,17,14,1.000,14,@,W,38.2,1,42,TOR,0,3,Eric Bledsoe,G,40,0,PHO,4,6
57,27-067,6,0,2016-11-20,3,14,14,.636,22,0,.000,1,.609,23,12,.857,14,@,W,36.2,1,40,LAL,4,1,Jimmy Butler,G-F,40,1,CHI,1,7
58,27-105,4,0,2016-12-28,4,14,13,.481,27,1,.500,2,.483,29,11,1.000,11,,W,33.7,1,38,BRK,6,2,Jimmy Butler,G-F,40,4,CHI,3,10
59,27-133,3,0,2017-01-25,2,13,9,.643,14,4,.500,8,.591,22,10,1.000,10,,L,35.9,1,40,ATL,2,0,Jimmy Butler,G-F,40,3,CHI,1,4
60,26-185,8,1,2017-02-14,10,13,11,.647,17,2,.286,7,.542,24,12,.632,19,@,W,31.5,1,36,LAL,2,2,DeMarcus Cousins,C-F,40,2,SAC,6,12
61,28-298,6,1,2017-01-06,3,15,10,.714,14,5,.385,13,.556,27,5,1.000,5,,L,29.1,1,42,MEM,0,2,Stephen Curry,G,40,1,GSW,4,3
62,23-304,2,3,2017-01-09,14,14,13,.619,21,1,1.000,1,.636,22,11,.917,12,@,W,39.5,1,29,NYK,4,2,Anthony Davis,F-C,40,0,NOP,0,18
64,27-080,1,0,2016-10-26,3,17,17,.680,25,0,.000,2,.630,27,6,1.000,6,,W,24.8,1,34,DET,1,1,DeMar DeRozan,G,40,1,TOR,6,4
65,27-087,5,0,2016-11-02,4,14,13,.619,21,1,.500,2,.609,23,11,.688,16,@,W,32.7,1,37,WAS,1,3,DeMar DeRozan,G,40,2,TOR,1,5
66,28-111,4,3,2017-01-18,10,13,8,.889,9,5,.714,7,.813,16,9,.900,10,,W,40.1,1,34,OKC,2,2,Kevin Durant,F-G,40,0,GSW,2,12
